+2025-07-09 17:42:50.790 | DEBUG    | arb.wsgi         | user:anonymous | 120   | wsgi.py              | Loading File: "wsgi.py". Full Path: "C:\tony_local\pycharm\feedback_portal\source\production\arb\wsgi.py"
+2025-07-09 17:42:50.791 | DEBUG    | arb.portal.startup.flask | user:anonymous | 77    | flask.py             | configure_flask_app() called
+2025-07-09 17:42:50.792 | DEBUG    | arb.portal.startup.flask | user:anonymous | 114   | flask.py             | Flask Jinja2 globals and logging initialized.
+2025-07-09 17:42:50.987 | INFO     | arb.portal.startup.db | user:anonymous | 79    | db.py                | Initializing database models.
+2025-07-09 17:42:50.987 | INFO     | arb.portal.startup.db | user:anonymous | 108   | db.py                | Creating all missing tables.
+2025-07-09 17:42:56.981 | DEBUG    | arb.portal.startup.db | user:anonymous | 110   | db.py                | Database schema created.
+2025-07-09 17:42:56.981 | INFO     | arb.portal.startup.db | user:anonymous | 133   | db.py                | Database initialized and tables ensured.
+2025-07-09 17:42:56.981 | INFO     | arb.portal.startup.db | user:anonymous | 57    | db.py                | Reflecting database metadata.
+2025-07-09 17:42:57.997 | DEBUG    | arb.portal.startup.db | user:anonymous | 59    | db.py                | Reflection complete.
+2025-07-09 17:42:58.896 | DEBUG    | arb.utils.sql_alchemy | user:anonymous | 174   | sql_alchemy.py       | calling get_sa_automap_types()
+2025-07-09 17:42:59.228 | WARNING  | arb.utils.sql_alchemy | user:anonymous | 213   | sql_alchemy.py       | origin is of type: Geometry that is not implemented in python.  Setting python type to None.
+2025-07-09 17:42:59.229 | WARNING  | arb.utils.sql_alchemy | user:anonymous | 214   | sql_alchemy.py       | 
+2025-07-09 17:42:59.229 | WARNING  | arb.utils.sql_alchemy | user:anonymous | 213   | sql_alchemy.py       | extent is of type: Geometry that is not implemented in python.  Setting python type to None.
+2025-07-09 17:42:59.229 | WARNING  | arb.utils.sql_alchemy | user:anonymous | 214   | sql_alchemy.py       | 
+2025-07-09 17:42:59.231 | WARNING  | arb.utils.sql_alchemy | user:anonymous | 213   | sql_alchemy.py       | footprint is of type: Geometry that is not implemented in python.  Setting python type to None.
+2025-07-09 17:42:59.231 | WARNING  | arb.utils.sql_alchemy | user:anonymous | 214   | sql_alchemy.py       | 
+2025-07-09 17:43:00.094 | WARNING  | arb.utils.sql_alchemy | user:anonymous | 213   | sql_alchemy.py       | geom is of type: Geometry that is not implemented in python.  Setting python type to None.
+2025-07-09 17:43:00.095 | WARNING  | arb.utils.sql_alchemy | user:anonymous | 214   | sql_alchemy.py       | 
+2025-07-09 17:43:01.345 | WARNING  | arb.utils.sql_alchemy | user:anonymous | 213   | sql_alchemy.py       | coordinates is of type: Geometry that is not implemented in python.  Setting python type to None.
+2025-07-09 17:43:01.345 | WARNING  | arb.utils.sql_alchemy | user:anonymous | 214   | sql_alchemy.py       | 
+2025-07-09 17:43:01.478 | WARNING  | arb.utils.sql_alchemy | user:anonymous | 213   | sql_alchemy.py       | geometry is of type: Geometry that is not implemented in python.  Setting python type to None.
+2025-07-09 17:43:01.478 | WARNING  | arb.utils.sql_alchemy | user:anonymous | 214   | sql_alchemy.py       | 
+2025-07-09 17:43:02.101 | DEBUG    | arb.utils.sql_alchemy | user:anonymous | 221   | sql_alchemy.py       | returning from get_sa_automap_types()
