# Table: Files with CRLF vs LF Line Endings
| File Number | Relative Path | Line Ending Format |
|-------------|---------------|-------------------|
| 1 | .pytest_cache/README.md | CRLF |
| 2 | admin/mini_conda_02.yml | CRLF |
| 3 | admin/old/mini_conda_02_before_playwrite_update.yml | CRLF |
| 4 | archive/archived_2025_07_09/code_profiling.txt | CRLF |
| 5 | archive/archived_2025_07_09/cursor_deleted/github_and_ai_old.py | CRLF |
| 6 | archive/archived_2025_07_09/cursor_deleted/review_staged_old.html | CRLF |
| 7 | archive/archived_2025_07_09/cursor_deleted/routes_old.py | CRLF |
| 8 | archive/archived_2025_07_09/diagnostics/old/archived_2025_06_25/chrome_dns_setup_guide.md | CRLF |
| 9 | archive/archived_2025_07_09/diagnostics/old/archived_2025_06_25/cursor_analysis_results.md | CRLF |
| 10 | archive/archived_2025_07_09/diagnostics/old/archived_2025_06_25/cursor_auth_flow_analysis.md | CRLF |
| 11 | archive/archived_2025_07_09/diagnostics/old/archived_2025_06_25/cursor_token_placement_guide.md | CRLF |
| 12 | archive/archived_2025_07_09/diagnostics/old/archived_2025_06_25/cursor_vs_git_auth_analysis.md | CRLF |
| 13 | archive/archived_2025_07_09/diagnostics/old/archived_2025_06_25/diagnostics/Cursor/User/History/2d870196/WD4I.json | CRLF |
| 14 | archive/archived_2025_07_09/diagnostics/old/archived_2025_06_25/diagnostics/Cursor/User/keybindings.json | CRLF |
| 15 | archive/archived_2025_07_09/diagnostics/old/archived_2025_06_25/diagnostics/cursor_auth_diagnostics_20250625_154629.txt | CRLF |
| 16 | archive/archived_2025_07_09/diagnostics/old/archived_2025_06_25/dns_indexing_explanation.md | CRLF |
| 17 | archive/archived_2025_07_09/diagnostics/old/archived_2025_06_25/hybrid_workflow_guide.md | CRLF |
| 18 | archive/archived_2025_07_09/diagnostics/old/archived_2025_06_25/it_cursor_request.md | CRLF |
| 19 | archive/archived_2025_07_09/diagnostics/old/archived_2025_06_25/public_repo_token_setup.md | CRLF |
| 20 | archive/archived_2025_07_09/diagnostics/old/archived_2025_06_25/README.md | CRLF |
| 21 | archive/archived_2025_07_09/diagnostics/old/archived_2025_06_25/README_02.md | CRLF |
| 22 | archive/archived_2025_07_09/diagnostics/old/archived_2025_06_25/system_info.txt | CRLF |
| 23 | archive/archived_2025_07_09/diagnostics/old/archived_2025_06_25/token_based_auth_setup.md | CRLF |
| 24 | archive/archived_2025_07_09/diagnostics/old/archived_2025_06_25/vscode_setup_guide.md | CRLF |
| 25 | archive/archived_2025_07_09/diagnostics/old/archived_2025_07_09/cursor_implementing_comprehensive_testi.md | CRLF |
| 26 | archive/archived_2025_07_09/diagnostics/old/archived_2025_07_09/excel_dairy_comparison_at_20250702_194203.txt | CRLF |
