============================= test session starts ==============================
platform linux -- Python 3.11.13, pytest-8.4.1, pluggy-1.6.0 -- /home/tonyh/miniconda3/envs/mini_conda_02/bin/python
cachedir: .pytest_cache
rootdir: /home/tonyh/git_repos/feedback_portal
configfile: pytest.ini
plugins: base-url-2.1.0, anyio-4.7.0, playwright-0.7.0, asyncio-1.1.0
asyncio: mode=Mode.STRICT, asyncio_default_fixture_loop_scope=None, asyncio_default_test_loop_scope=function
collecting ... ✓ Found 14 test files in /home/tonyh/git_repos/feedback_portal/feedback_forms/testing_versions/standard
✓ Test infrastructure validation passed
collected 1414 items

tests/arb/auth/test_auth_routes.py::test_auth_bp_exists PASSED
tests/arb/auth/test_auth_routes.py::test_login_route SKIPPED (Requir...)
tests/arb/auth/test_auth_routes.py::test_register_route SKIPPED (Req...)
tests/arb/auth/test_auth_routes.py::test_logout_route SKIPPED (Requi...)
tests/arb/auth/test_auth_routes.py::test_password_reset_route SKIPPED
tests/arb/auth/test_email_util.py::test_send_welcome_email_function_signature PASSED
tests/arb/auth/test_email_util.py::test_send_password_reset_email_function_signature PASSED
tests/arb/auth/test_email_util.py::test_send_email_confirmation_function_signature PASSED
tests/arb/auth/test_email_util.py::test_send_welcome_email_with_valid_user SKIPPED
tests/arb/auth/test_email_util.py::test_send_password_reset_email_with_valid_user SKIPPED
tests/arb/auth/test_email_util.py::test_send_email_confirmation_with_valid_user SKIPPED
tests/arb/auth/test_forms.py::test_registration_form_instantiation PASSED
tests/arb/auth/test_forms.py::test_login_form_instantiation PASSED
tests/arb/auth/test_forms.py::test_password_reset_form_instantiation PASSED
tests/arb/auth/test_forms.py::test_forgot_username_form_instantiation PASSED
tests/arb/auth/test_forms.py::test_change_password_form_instantiation PASSED
tests/arb/auth/test_forms.py::test_registration_form_validation SKIPPED
tests/arb/auth/test_forms.py::test_login_form_validation SKIPPED (Re...)
tests/arb/auth/test_forms.py::test_password_reset_form_validation SKIPPED
tests/arb/auth/test_forms.py::test_change_password_form_validation SKIPPED
tests/arb/auth/test_models.py::test_get_user_model_function_signature PASSED
tests/arb/auth/test_models.py::test_get_user_model_returns_model SKIPPED
tests/arb/auth/test_models.py::test_user_model_creation SKIPPED (Req...)
tests/arb/auth/test_models.py::test_user_model_validation SKIPPED (R...)
tests/arb/portal/config/test_accessors.py::test_get_processed_versions_dir PASSED
tests/arb/portal/config/test_accessors.py::test_get_upload_folder PASSED
tests/arb/portal/config/test_accessors.py::test_get_payload_save_dir PASSED
tests/arb/portal/config/test_accessors.py::test_get_app_mode_default PASSED
tests/arb/portal/config/test_accessors.py::test_get_app_mode_custom PASSED
tests/arb/portal/config/test_accessors.py::test_get_database_uri PASSED
tests/arb/portal/config/test_accessors.py::test_missing_config_keys PASSED
tests/arb/portal/config/test_config_init.py::test_get_config_production_via_config_type PASSED
tests/arb/portal/config/test_config_init.py::test_get_config_production_via_flask_env PASSED
tests/arb/portal/config/test_config_init.py::test_get_config_testing_via_config_type PASSED
tests/arb/portal/config/test_config_init.py::test_get_config_testing_via_flask_env PASSED
tests/arb/portal/config/test_config_init.py::test_get_config_development_default PASSED
tests/arb/portal/config/test_config_init.py::test_get_config_development_empty_strings PASSED
tests/arb/portal/config/test_config_init.py::test_get_config_development_invalid_values PASSED
tests/arb/portal/config/test_config_init.py::test_get_config_case_insensitive PASSED
tests/arb/portal/config/test_config_init.py::test_get_config_priority_config_type_over_flask_env PASSED
tests/arb/portal/config/test_config_init.py::test_get_config_mixed_case_environment PASSED
tests/arb/portal/config/test_settings.py::test_base_config_defaults PASSED
tests/arb/portal/config/test_settings.py::test_development_config_inherits PASSED
tests/arb/portal/config/test_settings.py::test_production_config_inherits PASSED
tests/arb/portal/config/test_settings.py::test_testing_config_inherits PASSED
tests/arb/portal/config/test_settings.py::test_env_override_sqlalchemy_database_uri PASSED
tests/arb/portal/config/test_settings.py::test_fast_load_environment_variable_true PASSED
tests/arb/portal/config/test_settings.py::test_fast_load_environment_variable_false PASSED
tests/arb/portal/config/test_settings.py::test_fast_load_environment_variable_not_set PASSED
tests/arb/portal/config/test_settings.py::test_secret_key_from_environment PASSED
tests/arb/portal/config/test_settings.py::test_secret_key_default_when_not_set PASSED
tests/arb/portal/test_app.py::TestCreateApp::test_create_app_blueprint_registration PASSED
tests/arb/portal/test_app.py::TestCreateApp::test_create_app_blueprint_routes_accessible PASSED
tests/arb/portal/test_app.py::TestCreateApp::test_create_app_calls_configure_flask_app PASSED
tests/arb/portal/test_app.py::TestCreateApp::test_create_app_config_loading PASSED
tests/arb/portal/test_app.py::TestCreateApp::test_create_app_context_globals_available PASSED
tests/arb/portal/test_app.py::TestCreateApp::test_create_app_database_initialization_failure PASSED
tests/arb/portal/test_app.py::TestCreateApp::test_create_app_database_initialization_success PASSED
tests/arb/portal/test_app.py::TestCreateApp::test_create_app_environment_specific_config PASSED
tests/arb/portal/test_app.py::TestCreateApp::test_create_app_flask_extensions_initialized PASSED
tests/arb/portal/test_app.py::TestCreateApp::test_create_app_has_required_attributes PASSED
tests/arb/portal/test_app.py::TestCreateApp::test_create_app_logging_configured PASSED
tests/arb/portal/test_app.py::TestCreateApp::test_create_app_multiple_calls_independent PASSED
tests/arb/portal/test_app.py::TestCreateApp::test_create_app_returns_flask_instance PASSED
tests/arb/portal/test_app.py::TestCreateApp::test_create_app_uses_config_module PASSED
tests/arb/portal/test_constants.py::TestUIConstants::test_please_select_constant PASSED
tests/arb/portal/test_constants.py::TestUIConstants::test_please_select_immutability PASSED
tests/arb/portal/test_constants.py::TestGeographicBoundaries::test_california_boundaries_validity PASSED
tests/arb/portal/test_constants.py::TestGeographicBoundaries::test_gps_resolution PASSED
tests/arb/portal/test_constants.py::TestGeographicBoundaries::test_latitude_boundaries PASSED
tests/arb/portal/test_constants.py::TestGeographicBoundaries::test_longitude_boundaries PASSED
tests/arb/portal/test_constants.py::TestValidationSchemas::test_latitude_validation_schema PASSED
tests/arb/portal/test_constants.py::TestValidationSchemas::test_longitude_validation_schema PASSED
tests/arb/portal/test_constants.py::TestValidationSchemas::test_validation_schema_consistency PASSED
tests/arb/portal/test_constants.py::TestTimezoneConstants::test_ca_timezone PASSED
tests/arb/portal/test_constants.py::TestTimezoneConstants::test_timezone_compatibility PASSED
tests/arb/portal/test_constants.py::TestTimezoneConstants::test_timezone_immutability PASSED
tests/arb/portal/test_constants.py::TestTimezoneConstants::test_utc_timezone PASSED
tests/arb/portal/test_constants.py::TestDateTimeFormats::test_datetime_format_validity PASSED
tests/arb/portal/test_constants.py::TestDateTimeFormats::test_datetime_with_seconds_format PASSED
tests/arb/portal/test_constants.py::TestDateTimeFormats::test_html_local_time_format PASSED
tests/arb/portal/test_constants.py::TestConstantTypes::test_all_constants_defined PASSED
tests/arb/portal/test_constants.py::TestConstantTypes::test_constant_immutability PASSED
tests/arb/portal/test_constants.py::TestConstantValidation::test_constant_documentation PASSED
