+2025-05-03 21:11:03.402 | DEBUG    | arb | __get_logger.py | 97 | __get_logger.get_logger() called with name = 'arb', file ='C:\\Users\\theld\\OneDrive - California Air Resources Board\\code\\pycharm\\feedback_portal\\source\\production\\arb\\__init__.py', log_to_console =False, force_command_line =True
+2025-05-03 21:11:03.402 | DEBUG    | root | __get_logger.py | 98 | Logging was initialized on first usage.  Outputting logs to logs\flask.log
+2025-05-03 21:11:03.402 | DEBUG    | root | __get_logger.py | 99 | Note: sys.argv = ['C:\\Users\\theld\\AppData\\Local\\miniconda3\\envs\\mini_conda_01\\Scripts\\flask', 'run']
+2025-05-03 21:11:03.405 | DEBUG    | arb.portal | __get_logger.py | 102 | __get_logger.get_logger() called with name = 'arb.portal', file ='C:\\Users\\theld\\OneDrive - California Air Resources Board\\code\\pycharm\\feedback_portal\\source\\production\\arb\\portal\\__init__.py', log_to_console =False, force_command_line =True
+2025-05-03 21:11:03.406 | DEBUG    | root | __get_logger.py | 103 | Logging has already been initialized so there will be no changes to logging file or options.
+2025-05-03 21:11:04.040 | DEBUG    | arb.utils | __get_logger.py | 102 | __get_logger.get_logger() called with name = 'arb.utils', file ='C:\\Users\\theld\\OneDrive - California Air Resources Board\\code\\pycharm\\feedback_portal\\source\\production\\arb\\utils\\__init__.py', log_to_console =False, force_command_line =True
+2025-05-03 21:11:04.040 | DEBUG    | root | __get_logger.py | 103 | Logging has already been initialized so there will be no changes to logging file or options.
+2025-05-03 21:11:04.215 | DEBUG    | arb.utils.diagnostics | __get_logger.py | 102 | __get_logger.get_logger() called with name = 'arb.utils.diagnostics', file ='C:\\Users\\theld\\OneDrive - California Air Resources Board\\code\\pycharm\\feedback_portal\\source\\production\\arb\\utils\\diagnostics.py', log_to_console =False, force_command_line =True
+2025-05-03 21:11:04.215 | DEBUG    | root | __get_logger.py | 103 | Logging has already been initialized so there will be no changes to logging file or options.
+2025-05-03 21:11:04.216 | DEBUG    | arb.utils.misc | __get_logger.py | 102 | __get_logger.get_logger() called with name = 'arb.utils.misc', file ='C:\\Users\\theld\\OneDrive - California Air Resources Board\\code\\pycharm\\feedback_portal\\source\\production\\arb\\utils\\misc.py', log_to_console =False, force_command_line =True
+2025-05-03 21:11:04.216 | DEBUG    | root | __get_logger.py | 103 | Logging has already been initialized so there will be no changes to logging file or options.
+2025-05-03 21:11:04.244 | DEBUG    | arb.utils.date_and_time | __get_logger.py | 102 | __get_logger.get_logger() called with name = 'arb.utils.date_and_time', file ='C:\\Users\\theld\\OneDrive - California Air Resources Board\\code\\pycharm\\feedback_portal\\source\\production\\arb\\utils\\date_and_time.py', log_to_console =False, force_command_line =True
+2025-05-03 21:11:04.244 | DEBUG    | root | __get_logger.py | 103 | Logging has already been initialized so there will be no changes to logging file or options.
+2025-05-03 21:11:04.247 | DEBUG    | arb.portal.constants | __get_logger.py | 102 | __get_logger.get_logger() called with name = 'arb.portal.constants', file ='C:\\Users\\theld\\OneDrive - California Air Resources Board\\code\\pycharm\\feedback_portal\\source\\production\\arb\\portal\\constants.py', log_to_console =False, force_command_line =True
+2025-05-03 21:11:04.247 | DEBUG    | root | __get_logger.py | 103 | Logging has already been initialized so there will be no changes to logging file or options.
