Windows PowerShell
Copyright (C) Microsoft Corporation. All rights reserved.
PS C:\Users\tonyh> Get-ItemProperty HKLM:\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\* | Select-Object DisplayName, DisplayVersion | Sort-Object DisplayName

DisplayName                                                                   DisplayVersion
-----------                                                                   --------------








                                                                              1.3.195.61





















Adobe Creative Cloud                                                          6.7.0.278
Adobe Photoshop 2024                                                          25.12.3.1067
Adobe Photoshop 2025                                                          26.8.1.8
Adobe Refresh Manager                                                         1.8.0
APP Center                                                                    3.24.1105.1
APP Center                                                                    3.24.1105.1
ClickOnce Bootstrapper Package for Microsoft .NET Framework                   4.8.09037
ENE_AIC_Marvell_HAL                                                           1.0.7.0
ENE_DRAM_RGB_AIO                                                              1.0.4.16
ENE_EHD_M2_HAL                                                                1.0.10.1
ENE_External_Device_HAL                                                       1.0.10.4
ENE_MousePad_HAL                                                              1.0.1.8
ENE_X_AIC_HAL                                                                 1.0.4.0
Foxit PDF Reader                                                              12.1.2.15332
FURY CTRL version 2.0.25.0                                                    2.0.25.0
Google Chrome                                                                 138.0.7204.168
Graphviz                                                                      8.0.5
icecap_collection_neutral                                                     17.5.33312
icecap_collectionresources                                                    17.5.33312
icecap_collectionresourcesx64                                                 17.5.33306
Intel(R) Chipset Device Software                                              10.1.19199.8340
Intel(R) HID Event Filter                                                     2.2.1.386
IntelliTraceProfilerProxy                                                     15.0.21225.01
Kits Configuration Installer                                                  10.1.22000.832
Microsoft .NET Framework 4.7.2 Targeting Pack                                 4.7.03062
Microsoft .NET Framework 4.7.2 Targeting Pack (ENU)                           4.7.03062
Microsoft .NET Framework 4.8 SDK                                              4.8.03928
Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU) 4.8.09037
Microsoft .NET Host - 7.0.5 (x86)                                             56.23.58437
Microsoft .NET Host FX Resolver - 7.0.5 (x86)                                 56.23.58437
Microsoft .NET Runtime - 6.0.16 (x86)                                         48.67.58427
Microsoft .NET Runtime - 7.0.5 (x86)                                          56.23.58437
Microsoft .NET Targeting Pack - 6.0.16 (x86)                                  48.67.58427
Microsoft .NET Targeting Pack - 7.0.5 (x86)                                   56.23.58437
Microsoft ASP.NET Core 6.0.16 Shared Framework (x86)                          6.0.16.23174
Microsoft ASP.NET Core 6.0.16 Targeting Pack (x86)                            6.0.16.23174
Microsoft ASP.NET Core 7.0.5 Shared Framework (x86)                           7.0.5.23174
Microsoft ASP.NET Core 7.0.5 Targeting Pack (x86)                             7.0.5.23174
Microsoft ASP.NET Diagnostic Pack for Visual Studio                           17.5.320.55692
Microsoft Edge                                                                138.0.3351.95
Microsoft Edge WebView2 Runtime                                               138.0.3351.95
Microsoft TestPlatform SDK Local Feed                                         17.0.0.5175695
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17                  9.0.30729
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219                   10.0.40219
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030                  11.0.61030.0
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030                  11.0.61030.0
